DetectorID,RoadType,Location
379.1.109,Freeway,I-515 NB between Stephanie Street and Sunset Road
379.2.302,Freeway,I-515 NB between Stephanie Street and Sunset Road
380.1.306,Freeway,I-515 NB between Sunset Road and Warm Springs Road
380.2.105,Freeway,I-515 NB between Sunset Road and Warm Springs Road
381.3.102,Freeway,I-515 NB between Warm Springs Road and American Pacific Drive
382.1.373,Freeway,I-515 NB between American Pacific Drive and Waterwheel Falls Drive
382.2.370,Freeway,I-515 NB between American Pacific Drive and Waterwheel Falls Drive
382.3.369,Freeway,I-515 NB between American Pacific Drive and Waterwheel Falls Drive
383.1.377,Freeway,I-515 NB between Waterwheel Falls Drive and Long Acres Drive
383.2.375,Freeway,I-515 NB between Waterwheel Falls Drive and Long Acres Drive
383.3.374,Freeway,I-515 NB between Waterwheel Falls Drive and Long Acres Drive
384.1.384,Freeway,I-515 NB between Long Acres Drive and Appian Drive
384.2.383,Freeway,I-515 NB between Long Acres Drive and Appian Drive
385.1.390,Freeway,I-515 NB between Appian Drive and College Drive
385.2.389,Freeway,I-515 NB between Appian Drive and College Drive
385.3.387,Freeway,I-515 NB between Appian Drive and College Drive
386.1.399,Freeway,I-515 NB between College Drive and Bitterroot Street
386.2.398,Freeway,I-515 NB between College Drive and Bitterroot Street
386.3.396,Freeway,I-515 NB between College Drive and Bitterroot Street
386.4.395,Freeway,I-515 NB between College Drive and Bitterroot Street
387.1.407,Freeway,I-515 NB between Bitterroot Street and Wagon Wheel Drive
387.2.406,Freeway,I-515 NB between Bitterroot Street and Wagon Wheel Drive
387.4.400,Freeway,I-515 NB between Bitterroot Street and Wagon Wheel Drive
388.1.245,Freeway,I-15 SB between Colton Avenue and Cartier Avenue
388.3.243,Freeway,I-15 SB between Colton Avenue and Cartier Avenue
391.1.415,Freeway,I-15 SB between Smiley Road and Craig Road
391.2.410,Freeway,I-15 SB between Smiley Road and Craig Road
391.3.252,Freeway,I-15 SB between Smiley Road and Craig Road
392.1.421,Freeway,I-15 SB between Ann Road and Smiley Road
392.2.420,Freeway,I-15 SB between Ann Road and Smiley Road
392.3.416,Freeway,I-15 SB between Ann Road and Smiley Road
393.1.432,Freeway,I-15 SB between Clark County 215 and Ann Road
393.2.429,Freeway,I-15 SB between Clark County 215 and Ann Road
393.3.428,Freeway,I-15 SB between Clark County 215 and Ann Road
393.4.426,Freeway,I-15 SB between Clark County 215 and Ann Road
394.1.434,Freeway,I-15 SB between Centennial Parkway and Clark County 215
394.2.433,Freeway,I-15 SB between Centennial Parkway and Clark County 215
395.1.445,Freeway,I-15 SB between Speedway Boulevard and Centennial Parkway
395.2.442,Freeway,I-15 SB between Speedway Boulevard and Centennial Parkway
395.3.441,Freeway,I-15 SB between Speedway Boulevard and Centennial Parkway
395.4.440,Freeway,I-15 SB between Speedway Boulevard and Centennial Parkway
396.1.243,Freeway,I-15 NB between Cartier Avenue and Colton Avenue
